Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
NO	T6ProWiFi_ReziApp_JasperNATrade_DIY_cool_only_one_stage_HTA_541		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Tstat 9F3872,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=AutomationWifi,NETWORK_PASSWORD=Home@123.'"
NO	T6ProWiFi_ReziApp_JasperNATrade_DIY_conventional_gas-standard_TwoHeat-TwoCool_HTA_20221		IOS-Device-IOS-15.5	00008030-000C49C11A7B402E	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	T6ProWiFi_ReziApp_JasperNATrade_DIY_heatPump_GEOTHERMAL_B_2Cool_3Heat_Independent_GAS_STANDARD_HTA_57096		IOS-Device-IOS-15.5	00008030-000C49C11A7B402E	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	ThorDiy_RealDevice_HappyPath		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Tstat 9F3872,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=AutomationWifi,NETWORK_PASSWORD=Home@123.'"
NO	T6R_WiFi_Jasper_EMEA_DIY_BLE_Mode		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Tstat 9F3872,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=AutomationWifi,NETWORK_PASSWORD=Home@123.'"
NO	Houdini_retail_DIY_BLE_cool_only_one_stage		Android-Device-Android-12	09281FDD4S00K2	Local	CHILStage(Azure)	"AcquisitionType=Specific, TestData='USERID=comauto@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Tstat 9F3872,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=AutomationWifi,NETWORK_PASSWORD=Home@123.'"
NO	Houdini_retail_DIY_BLE_cool_only_one_stage		IOS-Device-IOS-15.5	00008110-001578C03A79801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	T6ProWiFi_NATrade_DIY_cool_only_2_stage		Android-Device-Android-12	09281FDD4S00K2	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	FlycatcherDiy_RealDevice_HappyPath		IOS-Device-IOS-15.5	00008110-001965C90EF3801E	Local	Production	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	FlycatcherDiy_RealDevice_HappyPath		Android-Device-Android-12	09281FDD4S00K2	Local	CHILStage(Azure)	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
NO	Flycatcher_Thor_Diy_RealDevice_HappyPath		Android-Device-Android-12	09281FDD4S00K2	Local	CHILStage(Azure)	"AcquisitionType=Specific, TestData='USERID=jasper@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=My Honeywell Home,DEVICETOBEINSTALLED=T6 Pro Wi-Fi Thermostat,NETWORK_NAME=Home,NETWORK_PASSWORD=Home@123.'"
