Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	Login		IOS-Simulator-IOS-9.1	iPad 2	Local	Stage	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
No	Login			Samsung Galaxy S6	Local	Stage	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FLY_NA_Humidity_Window_Protection		Android-Device-Android-6.0.1	Nexus 5	Local	CHILInt(Azure)	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FLY_NA_FanMode		IOS-Device-IOS-11.2.1	7822364255cc4627d603d3b8ebf81f4214da92ca	Local	CHILInt(Azure)	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_Thermostat_With_Cool_Only_System		IOS-Device-IOS-11.2.1	7822364255cc4627d603d3b8ebf81f4214da92ca	Local	CHILInt(Azure)	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_Thermostat_with_Heatpump_Heating_System		IOS-Device-IOS-12.2.1	2866ff7fc6b36e6dcdfad12899b8356d778c160f	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_Thermostat_With_Radiant_Heat_System		IOS-Device-IOS-12.2.1	2866ff7fc6b36e6dcdfad12899b8356d778c160f	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_Thermostat_With_Cool_Only_System		IOS-Device-IOS-12.2.1	2866ff7fc6b36e6dcdfad12899b8356d778c160f	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_Thermostat_With_Conventional_Heating_System		IOS-Device-IOS-12.2.1	2866ff7fc6b36e6dcdfad12899b8356d778c160f	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_System_Use_Cases		IOS-Device-IOS-13.3	205015fc52ed254f64c94dbd87257bbc7ea89dde	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
NO	FC_Heating_and_Cooling_Test		IOS-Device-IOS-13.3	205015fc52ed254f64c94dbd87257bbc7ea89dde	Local	Production	"AcquisitionType=Specific, TestData='USERID=flyprd@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Master Bedroom,NETWORK_NAME=comfort5,NETWORK_PASSWORD=Comacc05'"
